date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:05	161211/161211	---M--	200	added ('OK')	application/pdf	etag:%224f01b415-275bb%22	http://armguitar.do.am/145-Way_I_was.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/145-Way_I_was.pdf	(from http://armguitar.do.am/)
13:09:05	1350/1350	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-546%22	http://armguitar.do.am/.s/t/785/10.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/10.png	(from http://armguitar.do.am/_st/my.css)
13:09:05	1970/1970	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-7b2%22	http://armguitar.do.am/.s/t/785/11.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/11.png	(from http://armguitar.do.am/_st/my.css)
13:09:06	513/513	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-201%22	http://armguitar.do.am/.s/t/785/12.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/12.png	(from http://armguitar.do.am/_st/my.css)
13:09:07	1023/1023	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-3ff%22	http://armguitar.do.am/.s/t/785/13.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/13.png	(from http://armguitar.do.am/_st/my.css)
13:09:07	1352/1352	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-548%22	http://armguitar.do.am/.s/t/785/14.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/14.png	(from http://armguitar.do.am/_st/my.css)
13:09:08	1041/1041	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-411%22	http://armguitar.do.am/.s/t/785/15.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/15.png	(from http://armguitar.do.am/_st/my.css)
13:09:09	3120/3120	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-c30%22	http://armguitar.do.am/.s/t/785/16.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/16.png	(from http://armguitar.do.am/_st/my.css)
13:09:10	2633/2633	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-a49%22	http://armguitar.do.am/.s/t/785/17.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/17.png	(from http://armguitar.do.am/_st/my.css)
13:09:10	1767/1767	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-6e7%22	http://armguitar.do.am/.s/t/785/18.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/18.png	(from http://armguitar.do.am/_st/my.css)
13:09:11	2296/2296	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-8f8%22	http://armguitar.do.am/.s/t/785/19.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/19.png	(from http://armguitar.do.am/_st/my.css)
13:09:11	229039/229039	---M--	200	added ('OK')	application/pdf	etag:%224f01b4d6-37eaf%22	http://armguitar.do.am/146-Wont_go_home_without_you.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/146-Wont_go_home_without_you.pdf	(from http://armguitar.do.am/)
